iter	Passed	Remaining
0	36	14500
1	73	14699
2	116	15423
3	160	15865
4	201	15896
5	240	15803
6	282	15848
7	324	15895
8	366	15912
9	407	15886
10	449	15881
11	492	15937
12	534	15916
13	577	15910
14	619	15906
15	669	16064
16	711	16034
17	753	15984
18	796	15973
19	836	15901
20	879	15867
21	919	15804
22	960	15750
23	1004	15739
24	1046	15702
25	1086	15632
26	1127	15569
27	1169	15531
28	1210	15489
29	1253	15457
30	1295	15422
31	1336	15372
32	1378	15328
33	1419	15282
34	1462	15250
35	1503	15204
36	1544	15154
37	1586	15115
38	1623	15030
39	1666	14995
40	1705	14935
41	1747	14891
42	1788	14847
43	1832	14824
44	1874	14790
45	1916	14751
46	1964	14755
47	2011	14748
48	2062	14771
49	2104	14732
50	2146	14690
51	2187	14640
52	2228	14592
53	2271	14551
54	2312	14506
55	2353	14458
56	2394	14411
57	2437	14372
58	2479	14329
59	2523	14297
60	2566	14262
61	2611	14238
62	2653	14192
63	2697	14159
64	2738	14114
65	2779	14067
66	2823	14033
67	2876	14043
68	2921	14016
69	2964	13973
70	3006	13930
71	3049	13890
72	3090	13843
73	3131	13796
74	3175	13758
75	3217	13716
76	3258	13669
77	3303	13636
78	3346	13599
79	3387	13551
80	3428	13501
81	3470	13457
82	3512	13415
83	3554	13372
84	3600	13342
85	3641	13295
86	3682	13246
87	3726	13211
88	3768	13168
89	3810	13125
90	3850	13076
91	3891	13029
92	3934	12987
93	3976	12943
94	4009	12873
95	4051	12830
96	4093	12786
97	4136	12748
98	4180	12710
99	4221	12664
100	4264	12623
101	4306	12582
102	4349	12542
103	4392	12500
104	4434	12458
105	4475	12413
106	4518	12373
107	4562	12336
108	4605	12295
109	4647	12253
110	4689	12209
111	4732	12169
112	4774	12125
113	4819	12090
114	4854	12029
115	4900	11998
116	4947	11968
117	4993	11934
118	5041	11905
119	5084	11864
120	5127	11822
121	5172	11785
122	5214	11742
123	5256	11700
124	5299	11658
125	5341	11616
126	5384	11573
127	5425	11529
128	5466	11484
129	5508	11440
130	5551	11400
131	5594	11357
132	5639	11321
133	5681	11278
134	5724	11236
135	5768	11197
136	5810	11155
137	5851	11109
138	5892	11064
139	5933	11019
140	5975	10976
141	6016	10931
142	6062	10894
143	6103	10850
144	6149	10814
145	6191	10770
146	6234	10730
147	6276	10687
148	6318	10644
149	6364	10607
150	6408	10566
151	6453	10528
152	6496	10488
153	6541	10449
154	6585	10408
155	6627	10365
156	6670	10324
157	6714	10283
158	6755	10239
159	6798	10198
160	6842	10157
161	6884	10113
162	6926	10070
163	6969	10029
164	7010	9985
165	7057	9948
166	7099	9904
167	7143	9865
168	7184	9819
169	7224	9773
170	7267	9732
171	7310	9690
172	7351	9645
173	7394	9604
174	7436	9561
175	7479	9519
176	7521	9476
177	7563	9433
178	7604	9388
179	7647	9347
180	7689	9304
181	7732	9261
182	7771	9215
183	7811	9170
184	7851	9125
185	7893	9081
186	7939	9043
187	7982	9001
188	8024	8958
189	8067	8916
190	8112	8876
191	8155	8834
192	8198	8793
193	8239	8748
194	8284	8709
195	8327	8666
196	8368	8623
197	8407	8577
198	8450	8535
199	8492	8492
200	8534	8449
201	8580	8410
202	8622	8367
203	8664	8324
204	8707	8282
205	8752	8242
206	8798	8203
207	8841	8161
208	8883	8118
209	8926	8076
210	8968	8033
211	9013	7993
212	9056	7950
213	9097	7906
214	9138	7863
215	9179	7819
216	9220	7775
217	9264	7734
218	9305	7690
219	9346	7647
220	9387	7603
221	9428	7560
222	9469	7516
223	9511	7472
224	9553	7430
225	9594	7386
226	9634	7342
227	9679	7301
228	9721	7259
229	9762	7215
230	9796	7166
231	9843	7127
232	9886	7086
233	9929	7043
234	9971	7001
235	10016	6960
236	10057	6917
237	10093	6870
238	10138	6829
239	10184	6789
240	10220	6742
241	10262	6700
242	10297	6652
243	10338	6609
244	10378	6566
245	10421	6524
246	10466	6483
247	10509	6441
248	10553	6399
249	10593	6356
250	10637	6314
251	10678	6271
252	10724	6231
253	10769	6190
254	10810	6147
255	10851	6104
256	10879	6053
257	10921	6011
258	10966	5969
259	11009	5928
260	11051	5885
261	11094	5843
262	11139	5802
263	11183	5760
264	11224	5718
265	11265	5675
266	11307	5632
267	11348	5589
268	11388	5546
269	11433	5505
270	11474	5462
271	11515	5419
272	11557	5376
273	11597	5333
274	11638	5290
275	11680	5247
276	11723	5205
277	11764	5162
278	11804	5119
279	11844	5076
280	11885	5033
281	11925	4990
282	11970	4948
283	12012	4906
284	12054	4864
285	12096	4821
286	12140	4780
287	12181	4737
288	12223	4694
289	12264	4652
290	12306	4609
291	12346	4566
292	12387	4523
293	12428	4480
294	12469	4438
295	12511	4395
296	12554	4353
297	12594	4310
298	12635	4268
299	12676	4225
300	12717	4182
301	12757	4139
302	12800	4097
303	12845	4056
304	12896	4016
305	12939	3974
306	12981	3932
307	13024	3890
308	13067	3848
309	13107	3805
310	13149	3763
311	13190	3720
312	13231	3677
313	13271	3634
314	13314	3592
315	13354	3549
316	13396	3507
317	13438	3465
318	13479	3422
319	13520	3380
320	13561	3337
321	13601	3294
322	13641	3251
323	13682	3209
324	13727	3167
325	13771	3125
326	13812	3083
327	13854	3041
328	13895	2998
329	13936	2956
330	13976	2913
331	14018	2871
332	14063	2829
333	14109	2788
334	14153	2746
335	14195	2703
336	14238	2661
337	14280	2619
338	14322	2577
339	14364	2534
340	14404	2492
341	14445	2449
342	14479	2406
343	14520	2363
344	14561	2321
345	14603	2279
346	14644	2236
347	14684	2194
348	14726	2151
349	14766	2109
350	14807	2067
351	14847	2024
352	14891	1982
353	14932	1940
354	14973	1898
355	15015	1855
356	15057	1813
357	15098	1771
358	15143	1729
359	15185	1687
360	15230	1645
361	15272	1603
362	15312	1560
363	15355	1518
364	15394	1476
365	15435	1433
366	15481	1392
367	15525	1350
368	15566	1307
369	15611	1265
370	15651	1223
371	15692	1181
372	15732	1138
373	15772	1096
374	15814	1054
375	15855	1012
376	15895	969
377	15935	927
378	15977	885
379	16017	843
380	16060	800
381	16101	758
382	16142	716
383	16183	674
384	16224	632
385	16265	589
386	16305	547
387	16345	505
388	16386	463
389	16425	421
390	16470	379
391	16512	336
392	16552	294
393	16594	252
394	16638	210
395	16678	168
396	16718	126
397	16758	84
398	16798	42
399	16842	0
