epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.0115,1.19072,4.38245,1.57374,0.45787,0.2375,0.22975,0.16063,0.67722,3.14195,0.94637,0.00329545,0.00329545,0.0703409
2,69.4367,1.12578,1.72883,1.4609,0.65588,0.39375,0.45379,0.30949,0.71753,2.91897,0.92496,0.00656316,0.00656316,0.0402753
3,100.828,1.09853,1.58356,1.43573,0.41034,0.16875,0.17643,0.09635,1.14698,2.29099,1.30706,0.00976487,0.00976487,0.0101437
4,132.487,1.26873,1.7429,1.56433,0.07849,0.21875,0.06341,0.02397,1.37705,6.43106,1.59291,0.009703,0.009703,0.009703
5,164.689,1.33126,1.82797,1.61657,0.59163,0.575,0.50985,0.2896,0.86089,7.16369,1.11469,0.009604,0.009604,0.009604
6,196.437,1.29743,1.68534,1.56136,0.61653,0.58125,0.62326,0.37089,0.8154,12.6463,1.06384,0.009505,0.009505,0.009505
7,228.2,1.26324,1.61092,1.53607,0.60795,0.58151,0.65338,0.42961,0.72109,56.888,0.99656,0.009406,0.009406,0.009406
8,260.664,1.25582,1.55579,1.5401,0.78297,0.69375,0.76628,0.49102,0.73258,5.26547,0.9951,0.009307,0.009307,0.009307
9,293.534,1.25331,1.53918,1.55682,0.7669,0.575,0.68176,0.4589,0.71826,9.23371,0.99372,0.009208,0.009208,0.009208
10,326.184,1.23699,1.50911,1.51102,0.75384,0.68125,0.78241,0.52994,0.68273,5.37605,0.94838,0.009109,0.009109,0.009109
11,358.76,1.24481,1.53367,1.54381,0.73337,0.8,0.82067,0.55447,0.62827,4.36036,0.89081,0.00901,0.00901,0.00901
12,390.107,1.23311,1.50008,1.51065,0.72457,0.73125,0.78381,0.54564,0.68272,1.85586,0.95569,0.008911,0.008911,0.008911
13,422.353,1.22136,1.4255,1.53452,0.75051,0.79375,0.8044,0.53392,0.68071,2.868,0.93355,0.008812,0.008812,0.008812
14,454.805,1.17802,1.45963,1.50504,0.75724,0.72136,0.79687,0.55738,0.62111,4.33485,0.87832,0.008713,0.008713,0.008713
15,487.754,1.15628,1.36818,1.48149,0.65934,0.7,0.68298,0.45279,0.68603,5.09624,0.95852,0.008614,0.008614,0.008614
16,519.933,1.13358,1.35704,1.46835,0.75365,0.65009,0.71687,0.48395,0.66748,1.04406,0.93195,0.008515,0.008515,0.008515
17,551.244,1.10726,1.30753,1.43415,0.81206,0.7375,0.80062,0.56896,0.62047,1.74773,0.88109,0.008416,0.008416,0.008416
18,583.215,1.15884,1.39662,1.48098,0.65465,0.6875,0.74636,0.52064,0.6681,1.63538,0.92513,0.008317,0.008317,0.008317
19,615.578,1.11321,1.28834,1.44341,0.90158,0.68701,0.84557,0.58993,0.6097,1.39043,0.8646,0.008218,0.008218,0.008218
20,647.155,1.08677,1.25269,1.4316,0.90163,0.675,0.84084,0.59602,0.61046,1.72156,0.85794,0.008119,0.008119,0.008119
21,678.489,1.05242,1.20101,1.40086,0.8473,0.7625,0.83561,0.56885,0.67041,1.59496,0.90755,0.00802,0.00802,0.00802
22,709.552,1.07952,1.21605,1.40291,0.78599,0.70625,0.80215,0.52335,0.67325,1.21704,0.91945,0.007921,0.007921,0.007921
23,740.655,1.06617,1.23768,1.39165,0.8728,0.8,0.8712,0.61357,0.58951,0.99283,0.84451,0.007822,0.007822,0.007822
24,771.834,1.04442,1.25973,1.39875,0.86646,0.72997,0.85255,0.60401,0.61704,1.58329,0.86813,0.007723,0.007723,0.007723
25,802.552,1.0629,1.23048,1.41585,0.78868,0.72312,0.78832,0.55382,0.63387,0.77706,0.88256,0.007624,0.007624,0.007624
26,833.704,1.02651,1.1249,1.37757,0.78113,0.73125,0.81959,0.59019,0.59136,2.17427,0.84117,0.007525,0.007525,0.007525
27,865.012,1.05522,1.17536,1.3961,0.85476,0.75,0.84154,0.58968,0.61657,2.05381,0.85868,0.007426,0.007426,0.007426
28,896.127,1.04506,1.14913,1.38037,0.81449,0.76835,0.8236,0.57201,0.61719,0.71868,0.87548,0.007327,0.007327,0.007327
29,927.358,1.05359,1.14823,1.38913,0.90076,0.80625,0.88617,0.63936,0.56479,0.69825,0.82411,0.007228,0.007228,0.007228
30,958.353,1.01652,1.13631,1.38618,0.88844,0.7,0.84986,0.61302,0.58948,0.54115,0.85562,0.007129,0.007129,0.007129
31,989.377,1.00852,1.09182,1.36217,0.79618,0.825,0.8664,0.62275,0.55637,0.63702,0.82604,0.00703,0.00703,0.00703
32,1020.72,0.99427,1.0988,1.35485,0.79765,0.8125,0.85126,0.62552,0.55224,0.78334,0.81431,0.006931,0.006931,0.006931
33,1051.14,0.97456,1.03985,1.33938,0.89244,0.82968,0.89224,0.65412,0.56639,0.87521,0.83031,0.006832,0.006832,0.006832
34,1080.3,0.99062,1.09414,1.35589,0.8534,0.83682,0.88075,0.66759,0.54403,0.75797,0.79632,0.006733,0.006733,0.006733
35,1109.28,0.97169,1.05786,1.33456,0.83995,0.85284,0.90695,0.65987,0.58044,0.96104,0.84357,0.006634,0.006634,0.006634
36,1138.32,0.96701,1.01666,1.3264,0.83605,0.82867,0.87761,0.65264,0.52899,1.27613,0.79732,0.006535,0.006535,0.006535
37,1167.86,0.99182,1.08453,1.34758,0.83124,0.81875,0.87448,0.65851,0.49006,1.51995,0.76715,0.006436,0.006436,0.006436
38,1198.41,0.96512,1.02136,1.33087,0.80606,0.825,0.88263,0.64607,0.54016,0.618,0.79723,0.006337,0.006337,0.006337
39,1227.96,0.95856,1.02852,1.34427,0.81278,0.79375,0.87632,0.66326,0.53766,0.79348,0.79848,0.006238,0.006238,0.006238
40,1257.68,0.93156,0.95358,1.31198,0.87943,0.82055,0.89355,0.64684,0.56255,0.51516,0.8196,0.006139,0.006139,0.006139
41,1288.55,0.93653,0.97193,1.30813,0.83017,0.86875,0.87041,0.65523,0.49203,0.55219,0.76904,0.00604,0.00604,0.00604
42,1319.31,0.90809,0.98088,1.29182,0.75869,0.8,0.82586,0.61435,0.52819,0.61703,0.80372,0.005941,0.005941,0.005941
43,1350.17,0.91887,0.9128,1.29913,0.7925,0.81159,0.86828,0.62946,0.53198,0.51193,0.80459,0.005842,0.005842,0.005842
44,1381.1,0.93047,0.95613,1.31221,0.84979,0.88399,0.91642,0.66216,0.55333,0.9992,0.81887,0.005743,0.005743,0.005743
45,1412.11,0.93322,0.94617,1.29706,0.84638,0.79375,0.87905,0.67636,0.51765,0.72887,0.79045,0.005644,0.005644,0.005644
46,1443.88,0.95236,0.97002,1.32526,0.85127,0.85625,0.90423,0.67406,0.54024,0.5174,0.80331,0.005545,0.005545,0.005545
47,1474.99,0.89185,0.93748,1.28382,0.88233,0.8125,0.8997,0.67476,0.51744,1.23395,0.80208,0.005446,0.005446,0.005446
48,1506.14,0.90639,0.94359,1.29008,0.83361,0.84544,0.88784,0.67938,0.50165,0.52906,0.78046,0.005347,0.005347,0.005347
