epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.20451,0.938,0.0503,0.99133,0.001
2,0.0685,0.9835,0.03355,0.99333,0.001
3,0.04972,0.989,0.02524,0.99467,0.001
4,0.03865,0.9915,0.0229,0.99667,0.001
5,0.03399,0.993,0.02174,0.99667,0.001
6,0.03067,0.991,0.01709,0.99733,0.001
7,0.0227,0.994,0.01676,0.99733,0.001
8,0.02101,0.994,0.01495,0.99733,0.001
9,0.01888,0.9955,0.01455,0.99733,0.001
10,0.01415,0.9975,0.01339,0.99733,0.001
11,0.0214,0.9935,0.01318,0.99733,0.001
12,0.01931,0.994,0.02016,0.99467,0.001
13,0.0182,0.9945,0.01137,0.99733,0.001
14,0.01725,0.995,0.01335,0.99667,0.001
15,0.01373,0.9965,0.01189,0.99733,0.001
