epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.21744,0.92157,0.0832,0.98267,0.001
2,0.112,0.96129,0.05411,0.98867,0.001
3,0.09371,0.96757,0.03224,0.992,0.001
4,0.0882,0.96843,0.03333,0.992,0.001
5,0.08873,0.96614,0.02958,0.99333,0.001
6,0.08167,0.967,0.03031,0.99133,0.001
7,0.07034,0.97486,0.02622,0.99333,0.001
8,0.0821,0.96986,0.02957,0.99333,0.001
9,0.0781,0.97,0.02365,0.99267,0.001
10,0.10186,0.96329,0.01798,0.996,0.001
11,0.07417,0.973,0.01797,0.99267,0.001
12,0.07928,0.96771,0.0216,0.99333,0.001
13,0.08065,0.96814,0.01962,0.99467,0.001
14,0.07878,0.97029,0.01832,0.99533,0.001
15,0.08242,0.96857,0.0167,0.996,0.001
16,0.07518,0.97171,0.01605,0.99533,0.001
17,0.07212,0.97543,0.02998,0.99,0.001
18,0.08718,0.96886,0.02196,0.99467,0.001
19,0.08462,0.96686,0.02342,0.994,0.001
20,0.06564,0.97543,0.01537,0.99467,0.001
