epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.32941,0.8815,0.17595,0.94867,0.001
2,0.16941,0.948,0.10729,0.98467,0.001
3,0.14194,0.9545,0.07728,0.99267,0.001
4,0.12923,0.9565,0.06353,0.99133,0.001
5,0.09442,0.971,0.06706,0.986,0.001
6,0.09599,0.9685,0.06216,0.98867,0.001
7,0.08625,0.9735,0.05027,0.994,0.001
8,0.10026,0.9625,0.06621,0.98467,0.001
9,0.09558,0.966,0.04477,0.99333,0.001
10,0.08656,0.9755,0.04368,0.99133,0.001
11,0.08947,0.97,0.04181,0.99333,0.001
12,0.08049,0.9725,0.04095,0.99333,0.001
13,0.07376,0.972,0.03443,0.99467,0.001
14,0.08302,0.9685,0.03564,0.994,0.001
15,0.06762,0.979,0.03521,0.99333,0.001
