epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.41329,0.824,0.1431,0.978,0.001
2,0.16435,0.949,0.09178,0.98333,0.001
3,0.1549,0.94,0.09909,0.968,0.001
4,0.12751,0.957,0.08098,0.97933,0.001
5,0.10942,0.964,0.05691,0.98733,0.001
6,0.09387,0.9675,0.05893,0.98467,0.001
7,0.09036,0.9735,0.06062,0.982,0.001
8,0.08717,0.967,0.03233,0.994,0.001
9,0.08221,0.975,0.02937,0.994,0.001
10,0.08002,0.972,0.03772,0.99267,0.001
11,0.08712,0.9655,0.02472,0.994,0.001
12,0.0766,0.974,0.08567,0.96533,0.001
13,0.07981,0.9735,0.03139,0.992,0.001
14,0.0642,0.9775,0.02795,0.99467,0.001
15,0.07331,0.973,0.05677,0.98267,0.0005
